,State,AreaName,M_Poverty,F_Poverty,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths,All_With,All_Without,Population
1395,MO,"Adair County, Missouri",2917,3188,37516.0,39643.0,16696.0,8496.0,2499.0,13228.0,578.0,15,43.1,12,22635,2612,25247
1396,MO,"Andrew County, Missouri",828,703,55613.0,55932.0,41055.0,64178.0,,40391.0,505.0,11,37.9,9,15708,1406,17114
1397,MO,"Atchison County, Missouri",298,395,43933.0,44573.0,,,20962.0,93750.0,71.0,7,58.1,6,4660,681,5341
1398,MO,"Audrain County, Missouri",2030,2371,41310.0,42541.0,23938.0,,,32353.0,901.0,29,63.3,21,20716,3392,24108
1399,MO,"Barry County, Missouri",3303,3769,39033.0,39075.0,,48750.0,35938.0,37436.0,774.0,39,60.1,31,29046,6385,35431
1400,MO,"Barton County, Missouri",1329,1581,37467.0,37980.0,,38125.0,,30326.0,672.0,12,49.1,9,10602,1448,12050
1401,MO,"Bates County, Missouri",1355,1641,41060.0,41683.0,35913.0,,,43261.0,808.0,19,62.0,15,14130,2219,16349
1402,MO,"Benton County, Missouri",1492,2048,33042.0,33328.0,,27857.0,,28802.0,891.0,33,66.7,24,16184,2466,18650
1403,MO,"Bollinger County, Missouri",1198,1456,39707.0,40323.0,,,25750.0,,964.0,16,72.5,12,10671,1599,12270
1404,MO,"Boone County, Missouri",14224,17600,49899.0,52249.0,28734.0,31098.0,34406.0,41598.0,634.0,86,47.2,63,155468,13934,169402
1405,MO,"Buchanan County, Missouri",7270,8186,46315.0,47342.0,31925.0,,55583.0,37043.0,868.0,88,65.1,67,74686,12035,86721
1406,MO,"Butler County, Missouri",3780,5162,35738.0,36734.0,25762.0,49286.0,,31042.0,957.0,56,78.3,46,36714,5623,42337
1407,MO,"Caldwell County, Missouri",487,699,43691.0,42852.0,,,,63482.0,893.0,11,75.2,10,7961,934,8895
1408,MO,"Callaway County, Missouri",2577,3288,47744.0,48881.0,23140.0,64464.0,61603.0,,794.0,39,54.3,26,37664,4469,42133
1409,MO,"Camden County, Missouri",3496,4020,44816.0,45256.0,,,,16121.0,686.0,51,47.4,35,36215,7302,43517
1410,MO,"Cape Girardeau County, Missouri",6203,7423,46050.0,48762.0,18837.0,45583.0,,28361.0,701.0,62,56.6,50,69346,7209,76555
1411,MO,"Carroll County, Missouri",555,718,42415.0,43854.0,,,,,946.0,13,63.4,9,8016,986,9002
